name,shape_v,shape_u,coverage,median_step,max_step,ratio,flagged,severe,edges,verdict
20260130000001-w030_202601301912,1155,1618,0.8908,20.0,9227.4,461.44,6446,6355,3326718,REVIEW
20250611170257-z_dbg_gen_00308_inp_hr,582,342,0.6944,20.41,7012.0,343.48,536,317,275103,REVIEW
20251105093211-z_dbg_gen_00320,212,200,0.5556,20.8,6633.5,318.85,115,99,46189,REVIEW
20250716055230-z_dbg_gen_00377_inp_hr,546,342,0.6851,20.43,5994.4,293.48,220,148,254561,REVIEW
20250716055236-z_dbg_gen_00356_inp_hr,576,336,0.5431,20.37,5785.6,284.05,199,146,209048,REVIEW
20250611173014-z_dbg_gen_00506_inp_hr,588,276,0.6459,20.6,5677.4,275.61,272,192,208306,REVIEW
20250716055235-z_dbg_gen_00779_inp_hr,588,366,0.6226,20.42,4952.6,242.54,168,159,266528,REVIEW
20250611171318-z_dbg_gen_00440_inp_hr,468,360,0.6292,20.62,4500.7,218.29,131,121,210888,REVIEW
20250611153347-z_dbg_gen_00105_inp_hr,444,222,0.5655,20.76,4396.6,211.78,73,52,110667,REVIEW
20250716055233-z_dbg_gen_00565_inp_hr,450,378,0.6276,20.6,4151.0,201.51,146,123,212429,REVIEW
20260602230115-20230702185753_v14,4516,1328,0.752,20.13,3940.2,195.73,24842,13346,9012728,REVIEW
20260602230115-20230702185753_v14,4522,1280,0.7777,20.13,3930.7,195.29,24553,13165,8994993,REVIEW
20260701183150-w126-127,4704,7744,0.7182,19.9,3832.5,192.63,31944,11068,52304180,REVIEW
20260701183150-w126-127,1176,1936,0.7203,19.92,3832.5,192.38,2030,689,3275048,REVIEW
20260701183144-w113-115,3744,9688,0.8909,20.13,3869.4,192.25,8744,5902,64614700,REVIEW
20260701183144-w113-115,936,2422,0.893,20.14,3869.9,192.11,458,311,4044160,REVIEW
20260701183151-w128-129,1118,1779,0.7655,20.51,3776.6,184.1,2260,809,3040532,REVIEW
20260701183151-w128-129,4472,7116,0.7632,20.48,3748.8,183.03,33856,11821,48556052,REVIEW
20260701183149-w124-125,1049,1792,0.7824,20.2,3629.9,179.68,1732,586,2937220,REVIEW
20260701183149-w124-125,4196,7168,0.7801,20.18,3612.2,178.99,27350,10315,46910984,REVIEW
20250716055231-z_dbg_gen_00473_inp_hr,576,348,0.5875,20.42,3608.9,176.71,141,83,234337,REVIEW
20260701183147-w120-121,950,1728,0.8638,20.0,3472.8,173.67,581,435,2832128,REVIEW
20260701183148-w122-123,3952,6868,0.8335,20.16,3453.7,171.31,21538,11457,45231484,REVIEW
20260701183148-w122-123,988,1717,0.8358,20.18,3455.7,171.24,1164,603,2831830,REVIEW
20250716055234-z_dbg_gen_00709_inp_hr,396,240,0.7504,20.41,3471.2,170.05,108,100,141733,REVIEW
20250611134135-z_dbg_gen_00331_inp_hr,576,348,0.5397,20.4,3402.8,166.84,147,89,215208,REVIEW
20260701183143-w110-112,940,2379,0.8913,20.11,3335.1,165.85,505,352,3982017,REVIEW
20260701183143-w110-112,3760,9516,0.8893,20.09,3329.4,165.69,9608,5827,63621692,REVIEW
20250919133208-auto_grown_20250919063208154_inp_hr,342,264,0.7212,20.35,3358.2,165.03,4,4,129666,REVIEW
20260701183145-w116-117,937,1683,0.8778,19.96,3257.2,163.16,406,323,2764860,REVIEW
20260701183145-w116-117,3748,6732,0.8755,19.95,3242.9,162.59,8433,6105,44167840,REVIEW
20260701183147-w120-121,3800,6912,0.8615,19.98,3232.1,161.78,11910,8789,45240096,REVIEW
20260701183133-w077-080,981,2307,0.8691,20.0,3230.3,161.53,109,88,3929057,REVIEW
20260701183142-w107-109,3796,9324,0.8833,20.15,3247.9,161.17,6868,3510,62507220,REVIEW
20260701183142-w107-109,949,2331,0.8853,20.17,3249.0,161.11,368,248,3912244,REVIEW
20260701183141-w104-106,954,2281,0.8799,20.19,3246.3,160.75,423,272,3824804,REVIEW
