name,step_deg,worst_ratio,jumps,jump_rate,flips,turns_median,turns_max,radius_median,verdict
20250925204843-auto_grown_20250925204843950,0.0511,265.9,215185,0.028569,10800,0.03,0.56,9335.2,REVIEW
20250925204843-auto_grown_20250925204843950,0.0981,248.5,50463,0.028722,5207,0.04,0.85,4304.5,REVIEW
20250925204843-auto_grown_20250925204843950,0.3868,208.9,1792,0.022146,772,0.1,0.88,1112.5,REVIEW
20260623170305-w122-123,0.1087,138.6,319,2.2e-05,1712,2.0,2.0,9414.9,REVIEW
20260221022814-auto_grown_20260220174252405,1.0401,130.7,25,0.000694,336,0.74,0.83,765.6,REVIEW
20260623170833-w124-125,0.1075,129.0,472,3.2e-05,4754,1.99,2.0,9536.8,REVIEW
20260623170305-w122-123,0.4349,126.5,14,1.5e-05,464,2.0,2.0,2354.5,REVIEW
20260623170833-w124-125,0.4302,117.2,16,1.7e-05,1240,1.99,2.0,2383.6,REVIEW
20250928235953-auto_grown_20250928235953722,0.1349,108.2,40658,0.002542,6370,0.12,0.96,6904.0,REVIEW
20250925161630-auto_grown_20250925161630635,0.2815,95.5,383,0.000317,1021,0.12,0.75,3337.1,REVIEW
20251115002744-auto_grown_20251115002740308_4_flatboi,0.7336,87.7,68,3.8e-05,3258,0.88,6.17,1464.5,REVIEW
20251115002744-auto_grown_20251115002740308_4_flatboi,0.7335,87.5,68,3.8e-05,3244,0.88,6.17,1464.6,REVIEW
20250926153406-w088_20250926153406704_flatboi,0.4352,85.6,63,0.000221,1054,0.64,0.73,2048.3,REVIEW
20250928235953-auto_grown_20250928235953722,0.2881,82.4,8398,0.002451,2784,0.15,0.96,3250.3,REVIEW
20251105093211-z_dbg_gen_00320,0.4827,77.6,1009,0.073494,211,0.13,0.58,637.8,REVIEW
20260602230115-20230702185753_v14,0.2613,74.0,29364,0.006602,15349,0.2,2.36,3254.8,REVIEW
20260602230115-20230702185753_v14,0.2614,71.4,29457,0.006636,15451,0.2,2.35,3253.1,REVIEW
20250928235953-auto_grown_20250928235953722,1.1189,66.0,118,0.000671,241,0.33,0.96,836.0,REVIEW
20250926165636-auto_trace_20250926165636789,0.1243,64.6,37419,0.022761,3518,0.06,0.84,4551.5,REVIEW
20250925161630-auto_grown_20250925161630635,0.1322,56.0,2675,0.000477,1980,0.08,0.75,7105.3,REVIEW
20251217233843-w1_20251217233843496,0.1712,53.3,17591,0.096349,15410,0.09,0.52,1408.0,REVIEW
20260604223808-20231210121321_v8,0.2436,53.1,25842,0.003582,16490,0.37,2.38,3457.2,REVIEW
20260604223808-20231210121321_v8,0.2437,52.5,26099,0.003622,16336,0.37,2.4,3456.7,REVIEW
