조각                                     칸당각도      최악      튐     되감김     바퀴  판정
20240304141531-w013_202403041415     1.388°    4.3x      0   1,592   5.74  OK
20240304141531-w013_202403041415     1.388°    4.2x      0   1,724   5.74  OK
20240304141531-w013_202403041415     1.388°    4.3x      0   1,592   5.74  OK
20240304144031-w018_202403041440     1.133°    5.2x      0     580   5.30  OK
20240304144031-w018_202403041440     0.472°    7.3x  1,660   1,442   5.30  OK
20240304141531-w013_202403041415     0.427°    7.8x  8,082   5,432   5.76  REVIEW
20240304141531-w013_202403041415     0.581°    7.7x  4,282   3,962   5.76  REVIEW
20240304144031-w018_202403041440     1.133°    5.2x      0     586   5.30  OK
20240304144031-w018_202403041440     1.133°    5.2x      0     580   5.30  OK
20240304161941-w023_202403041619     0.989°    5.5x      0     258   4.58  OK
20240304161941-w023_202403041619     0.411°    6.8x    226     634   4.58  OK
20240304144031-w018_202403041440     0.347°    7.3x  3,020   1,980   5.30  OK
20240304161941-w023_202403041619     0.989°    5.5x      0     260   4.58  OK
20240304161941-w023_202403041619     0.989°    5.5x      0     258   4.58  OK
20251206103305-w012_202512061033     0.718°    7.8x    857   1,063   1.49  REVIEW
20251206103305-w012_202512061033     1.704°    3.4x      0     417   1.41  OK
20240304161941-w023_202403041619     0.302°    6.9x    431     856   4.58  OK
20251206103305-w012_202512061033     1.698°    3.4x      0     459   1.42  OK
20251206103305-w012_202512061033     0.528°    7.8x  1,630   1,521   1.49  REVIEW
20251206103305-w012_202512061033     1.704°    3.4x      0     417   1.41  OK
20251208130119-w028_202512081301     0.998°    5.4x      0      34   1.32  OK
20251206103305-w012_202512061033     0.286°    7.1x  1,480      96   1.37  OK
20251208130119-w028_202512081301     0.415°    6.8x     43      80   1.32  OK
20251208130119-w028_202512081301     0.305°    6.9x     83     104   1.32  OK
20251208130119-w028_202512081301     0.997°    5.6x      0      54   1.32  OK
20251208130119-w028_202512081301     0.998°    5.4x      0      34   1.32  OK
20251212185248-w029_202512121852     0.965°    5.9x      0      86   1.31  OK
20251212185248-w029_202512121852     0.401°    6.8x     58     176   1.31  OK
20251212185248-w029_202512121852     0.295°    6.9x    109     240   1.31  OK
20251212185248-w029_202512121852     0.964°    5.5x      0     150   1.31  OK
20251212185248-w029_202512121852     0.965°    5.9x      0      86   1.31  OK
20251220020000-w030_2025122002_f     0.393°    6.8x     53      84   1.29  OK
20251220020000-w030_2025122002_f     0.948°    5.7x      0      38   1.29  OK
20251208130119-w028_202512081301     0.148°    1.6x      0      60   1.22  OK
20251220020000-w030_2025122002_f     0.290°    6.8x     98     118   1.29  OK
20251220020000-w030_2025122002_f     0.948°    5.8x      0      90   1.29  OK
20251220020000-w030_2025122002_f     0.948°    5.7x      0      38   1.29  OK
20251223230000-w031_2025122323_f     0.375°    2.2x      0     120   1.11  OK
20251223230000-w031_2025122323_f     0.903°    2.1x      0      48   1.11  OK
20251220020000-w030_2025122002_f     0.140°    1.8x      0     230   1.17  OK
20251212185248-w029_202512121852     0.143°    1.7x      0     148   1.19  OK
20240304141531-w013_202403041415     0.237°    6.9x    438      60   5.73  OK
20251223230000-w031_2025122323_f     0.902°    2.2x      0     100   1.12  OK
20251223230000-w031_2025122323_f     0.276°    2.2x      0     182   1.11  OK
20240304144031-w018_202403041440     0.182°    2.9x      0       6   5.27  OK
20251223230000-w031_2025122323_f     0.903°    2.1x      0      48   1.11  OK
20260105050000-w032_2026010505_f     0.876°    2.2x      0     158   1.10  OK
20260105050000-w032_2026010505_f     0.363°    2.2x      0     376   1.10  OK
20260105050000-w032_2026010505_f     0.875°    3.1x      0     248   1.11  OK
20260105050000-w032_2026010505_f     0.876°    2.2x      0     158   1.10  OK
20260108140509-w011_202601081405     0.761°    7.5x    313   1,243   1.49  OK
20260108140509-w011_202601081405     1.806°    3.6x      0     515   1.36  OK
20260108140509-w011_202601081405     0.559°    7.9x    798   1,723   1.49  OK
20260108140509-w011_202601081405     1.790°    3.9x      0     621   1.39  OK
20260108140509-w011_202601081405     1.806°    3.6x      0     515   1.36  OK
20260108140509-w011_202601081405     0.296°    7.3x  1,533     908   1.34  OK
20260105050000-w032_2026010505_f     0.268°    2.2x      0     512   1.10  OK
20260110010000-w033_2026011001_f     0.854°    1.8x      0      46   1.05  OK
20260110010000-w033_2026011001_f     0.355°    1.8x      0      98   1.05  OK
20260110010000-w033_2026011001_f     0.854°    1.9x      0      56   1.06  OK
20260110010000-w033_2026011001_f     0.854°    1.8x      0      46   1.05  OK
20260110010000-w033_2026011001_f     0.261°    1.8x      0     132   1.05  OK
20260115160000-w034_2026011516_f     0.347°    2.4x      0     168   1.08  OK
20260115160000-w034_2026011516_f     0.836°    2.4x      0      82   1.08  OK
20260105050000-w032_2026010505_f     0.131°    2.1x      0     918   1.08  OK
20260115160000-w034_2026011516_f     0.835°    2.5x      0     144   1.08  OK
20260115160000-w034_2026011516_f     0.256°    2.4x      0     230   1.08  OK
20260115160000-w034_2026011516_f     0.836°    2.4x      0      82   1.08  OK
20260116230000-w035_2026011623_f     0.821°    2.7x      0     310   1.11  OK
20260116230000-w035_2026011623_f     0.251°    2.7x      0     960   1.11  OK
20260116230000-w035_2026011623_f     0.340°    2.8x      0     701   1.11  OK
20260116230000-w035_2026011623_f     0.819°    2.8x      0     400   1.13  OK
20260116230000-w035_2026011623_f     0.821°    2.7x      0     310   1.11  OK
20260119120000-w036_2026011912_f     0.329°    5.8x      0   1,130   1.06  OK
20260119120000-w036_2026011912_f     0.792°    3.2x      0     464   1.07  OK
20251223230000-w031_2025122323_f     0.135°    2.1x      0     212   1.09  OK
20260110010000-w033_2026011001_f     0.128°    1.8x      0      94   1.02  OK
20260119120000-w036_2026011912_f     0.792°    5.1x      0     640   1.07  OK
20260119120000-w036_2026011912_f     0.792°    3.2x      0     464   1.07  OK
20260119120000-w036_2026011912_f     0.242°    6.0x      1   1,544   1.06  OK
20260123230000-w037_2026012323_f     0.782°    5.1x      0     126   1.05  OK
20260116230000-w035_2026011623_f     0.125°    2.1x      0     858   1.11  OK
20260123230000-w037_2026012323_f     0.326°    5.2x      0     278   1.04  OK
20260123230000-w037_2026012323_f     0.781°    5.3x      0     160   1.05  OK
20260115160000-w034_2026011516_f     0.127°    2.0x      0     406   1.06  OK
20260123230000-w037_2026012323_f     0.782°    5.1x      0     126   1.05  OK
20260128140000-w038_2026012814_f     0.756°    5.3x      0     528   1.05  OK
20260123230000-w037_2026012323_f     0.239°    5.1x      0     382   1.05  OK
20260128140000-w038_2026012814_f     0.315°    5.5x      0   1,160   1.05  OK
20260128140000-w038_2026012814_f     0.756°    6.1x      1     757   1.07  OK
20260128140000-w038_2026012814_f     0.756°    5.3x      0     528   1.05  OK
20260130150000-w039_2026013015_f     0.306°    6.7x    156   1,636   1.06  OK
20260130150000-w039_2026013015_f     0.735°    6.5x     10     728   1.07  OK
20260119120000-w036_2026011912_f     0.118°    6.6x    181   2,496   1.06  OK
20260128140000-w038_2026012814_f     0.231°    5.4x      0   1,560   1.05  OK
20260130150000-w039_2026013015_f     0.736°    7.2x     10   1,054   1.07  OK
20260130150000-w039_2026013015_f     0.225°    6.6x    165   2,202   1.06  OK
20260130150000-w039_2026013015_f     0.735°    6.5x     10     728   1.07  OK
20260203210000-w040_2026020321_f     0.752°    7.9x    180     976   1.04  REVIEW
20240304161941-w023_202403041619     0.153°    1.8x      0       0   4.58  OK
20260128140000-w038_2026012814_f     0.112°    6.0x     20   2,374   1.05  OK
20260203210000-w040_2026020321_f     0.753°    8.1x    187   1,386   1.04  REVIEW
20260203210000-w040_2026020321_f     0.752°    7.9x    180     976   1.04  REVIEW
20260203210000-w040_2026020321_f     0.313°    8.0x  1,196   2,390   1.04  REVIEW
20260205070000-w041_2026020507_f     0.741°    8.2x    161   1,568   1.00  REVIEW
20260203210000-w040_2026020321_f     0.230°    8.0x  2,282   3,246   1.04  REVIEW
20260205070000-w041_2026020507_f     0.309°    8.4x  1,080   4,226   1.00  REVIEW
20260205070000-w041_2026020507_f     0.744°    8.4x    161   2,110   1.01  REVIEW
20260205070000-w041_2026020507_f     0.741°    8.2x    161   1,568   1.00  REVIEW
20260205070000-w041_2026020507_f     0.227°    8.2x  2,008   5,762   1.00  REVIEW
20260123230000-w037_2026012323_f     0.116°    4.3x      0     676   1.04  OK
20260205070000-w041_2026020507_f     0.107°    8.8x  5,564  10,548   1.00  WATCH
20260612121456-w011_202601081405     1.056°   12.8x    385   5,864  29.60  WATCH
20260130150000-w039_2026013015_f     0.108°    7.7x  1,315   4,032   1.06  OK
20260612121456-w011_202601081405     1.044°   12.8x    415   6,340  29.61  WATCH
20260612121456-w011_202601081405     1.056°   12.8x    385   5,864  29.60  WATCH
20260203210000-w040_2026020321_f     0.109°    8.1x  5,844   5,618   1.04  WATCH
20260612121456-w011_202601081405     0.438°   11.6x 12,139  13,758  29.59  WATCH
20260612121456-w011_202601081405     0.322°   12.4x 22,145  18,880  29.62  WATCH

검사 119개 · 봐야 할 것 21개
  WATCH   20260612121456-w011_20260108140509   최악 12.8x · 튐 385
  WATCH   20260612121456-w011_20260108140509   최악 12.8x · 튐 415
  WATCH   20260612121456-w011_20260108140509   최악 12.8x · 튐 385
  WATCH   20260612121456-w011_20260108140509   최악 12.4x · 튐 22,145
  WATCH   20260612121456-w011_20260108140509   최악 11.6x · 튐 12,139
  WATCH   20260205070000-w041_2026020507_fla   최악 8.8x · 튐 5,564
  REVIEW  20260205070000-w041_2026020507_fla   최악 8.4x · 튐 1,080
  REVIEW  20260205070000-w041_2026020507_fla   최악 8.4x · 튐 161
  REVIEW  20260205070000-w041_2026020507_fla   최악 8.2x · 튐 161
  REVIEW  20260205070000-w041_2026020507_fla   최악 8.2x · 튐 161
    6.9x     83     104   1.32  OK
20251208130119-w028_202512081301     0.997°    5.6x      0      54   1.32  OK
20251206103305-w012_202512061033     0.286°    7.1x  1,480      96   1.37  OK
20251208130119-w028_202512081301     0.998°    5.4x      0      34   1.32  OK
20251212185248-w029_202512121852     0.965°    5.9x      0      86   1.31  OK
20251212185248-w029_202512121852     0.401°    6.8x     58     176   1.31  OK
20251212185248-w029_202512121852     0.295°    6.9x    109     240   1.31  OK
20251212185248-w029_202512121852     0.964°    5.5x      0     150   1.31  OK
20251212185248-w029_202512121852     0.965°    5.9x      0      86   1.31  OK
20251220020000-w030_2025122002_f     0.393°    6.8x     53      84   1.29  OK
20251220020000-w030_2025122002_f     0.948°    5.7x      0      38   1.29  OK
20251220020000-w030_2025122002_f     0.290°    6.8x     98     118   1.29  OK
20251208130119-w028_202512081301     0.148°    1.6x      0      60   1.22  OK
20251220020000-w030_2025122002_f     0.948°    5.8x      0      90   1.29  OK
20240304161941-w023_202403041619     0.153°    1.8x      0       0   4.58  OK
20251220020000-w030_2025122002_f     0.948°    5.7x      0      38   1.29  OK
20251223230000-w031_2025122323_f     0.903°    2.1x      0      48   1.11  OK
20251223230000-w031_2025122323_f     0.375°    2.2x      0     120   1.11  OK
20251223230000-w031_2025122323_f     0.276°    2.2x      0     182   1.11  OK
20251223230000-w031_2025122323_f     0.902°    2.2x      0     100   1.12  OK
20251223230000-w031_2025122323_f     0.903°    2.1x      0      48   1.11  OK
20251220020000-w030_2025122002_f     0.140°    1.8x      0     230   1.17  OK
20251223230000-w031_2025122323_f     0.135°    2.1x      0     212   1.09  OK
20260105050000-w032_2026010505_f     0.876°    2.2x      0     158   1.10  OK
20260105050000-w032_2026010505_f     0.363°    2.2x      0     376   1.10  OK
20260105050000-w032_2026010505_f     0.875°    3.1x      0     248   1.11  OK
20260105050000-w032_2026010505_f     0.876°    2.2x      0     158   1.10  OK
20260105050000-w032_2026010505_f     0.268°    2.2x      0     512   1.10  OK
20260108140509-w011_202601081405     1.806°    3.6x      0     515   1.36  OK
20260108140509-w011_202601081405     0.761°    7.5x    313   1,243   1.49  OK
20260108140509-w011_202601081405     0.559°    7.9x    798   1,723   1.49  OK
20260108140509-w011_202601081405     1.790°    3.9x      0     621   1.39  OK
20260108140509-w011_202601081405     1.806°    3.6x      0     515   1.36  OK
20260110010000-w033_2026011001_f     0.355°    1.8x      0      98   1.05  OK
20260105050000-w032_2026010505_f     0.131°    2.1x      0     918   1.08  OK
20251212185248-w029_202512121852     0.143°    1.7x      0     148   1.19  OK
20260110010000-w033_2026011001_f     0.854°    1.8x      0      46   1.05  OK
20260110010000-w033_2026011001_f     0.854°    1.9x      0      56   1.06  OK
20260108140509-w011_202601081405     0.296°    7.3x  1,533     908   1.34  OK
20260110010000-w033_2026011001_f     0.854°    1.8x      0      46   1.05  OK
20260115160000-w034_2026011516_f     0.836°    2.4x      0      82   1.08  OK
20260115160000-w034_2026011516_f     0.347°    2.4x      0     168   1.08  OK
20260110010000-w033_2026011001_f     0.261°    1.8x      0     132   1.05  OK
20260115160000-w034_2026011516_f     0.835°    2.5x      0     144   1.08  OK
20260115160000-w034_2026011516_f     0.836°    2.4x      0      82   1.08  OK
20260116230000-w035_2026011623_f     0.340°    2.8x      0     701   1.11  OK
20260115160000-w034_2026011516_f     0.256°    2.4x      0     230   1.08  OK
20260116230000-w035_2026011623_f     0.821°    2.7x      0     310   1.11  OK
20260110010000-w033_2026011001_f     0.128°    1.8x      0      94   1.02  OK
20260116230000-w035_2026011623_f     0.819°    2.8x      0     400   1.13  OK
20260116230000-w035_2026011623_f     0.251°    2.7x      0     960   1.11  OK
20260116230000-w035_2026011623_f     0.821°    2.7x      0     310   1.11  OK
20260119120000-w036_2026011912_f     0.792°    3.2x      0     464   1.07  OK
20260119120000-w036_2026011912_f     0.329°    5.8x      0   1,130   1.06  OK
20260119120000-w036_2026011912_f     0.242°    6.0x      1   1,544   1.06  OK
20260119120000-w036_2026011912_f     0.792°    5.1x      0     640   1.07  OK
20260119120000-w036_2026011912_f     0.792°    3.2x      0     464   1.07  OK
20260123230000-w037_2026012323_f     0.326°    5.2x      0     278   1.04  OK
20260123230000-w037_2026012323_f     0.782°    5.1x      0     126   1.05  OK
20260116230000-w035_2026011623_f     0.125°    2.1x      0     858   1.11  OK
20260123230000-w037_2026012323_f     0.239°    5.1x      0     382   1.05  OK
